miles,gallons,dollars,date
65.5,1.04,2.76,4/19/18
66,1.03,2.77,5/3/18
61.2,0.89,2.52,5/16/18
63,0.94,2.39,6/28/18
69.4,0.98,2.71,7/25/18
75.3,0.99,2.88,8/12/18
85.5,1.02,2.8,8/27/18
83,1.18,3.07,9/11/18
80.2,1.06,2.94,9/21/18
81.2,1.09,3.08,10/3/18
78.5,1.12,3.03,10/18/18
71.5,1.07,2.77,10/30/18
81.5,1.12,2.94,11/12/18
75.3,1.08,2.7,12/3/18
70.8,1.054,2.11,1/23/19
72,1.138,2.46,2/26/19
67.3,1.032,2.42,3/26/19
65.8,1.096,2.63,4/11/19
72.8,1.108,2.84,5/17/19
67.9,1.151,2.83,10/8/19